Latitude (decimal degrees):	53.365
Longitude (decimal degrees):	7.233
Elevation (m):	-3
Radiation database:	PVGIS-SARAH3


Slope: 23 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20100101:0011,0.0,0.0,0.0,-0.67,4.62,0.0
20100101:0111,0.0,0.0,0.0,-0.8,4.48,0.0
20100101:0211,0.0,0.0,0.0,-0.94,4.28,0.0
20100101:0311,0.0,0.0,0.0,-1.29,4.07,0.0
20100101:0411,0.0,0.0,0.0,-1.59,3.79,0.0
20100101:0511,0.0,0.0,0.0,-1.93,3.59,0.0
20100101:0611,0.0,0.0,0.0,-2.08,3.45,0.0
20100101:0711,0.0,0.0,0.0,-1.74,3.38,0.0
20100101:0811,0.96,7.74,1.9,-2.09,3.24,0.0
20100101:0911,184.94,220.42,7.56,-1.99,3.17,0.0
20100101:1011,167.65,198.92,11.51,-1.44,3.17,0.0
20100101:1111,155.69,185.99,13.46,-0.89,3.66,0.0
20100101:1211,375.24,423.59,13.21,-0.63,3.72,0.0
20100101:1311,122.53,151.08,10.81,-0.64,3.66,0.0
20100101:1411,103.79,133.01,6.45,-0.97,3.17,0.0
20100101:1511,0.0,0.0,0.0,-1.69,2.9,0.0
20100101:1611,0.0,0.0,0.0,-2.53,2.55,0.0
20100101:1711,0.0,0.0,0.0,-3.39,2.28,0.0
20100101:1811,0.0,0.0,0.0,-4.02,2.0,0.0
20100101:1911,0.0,0.0,0.0,-4.3,2.0,0.0
20100101:2011,0.0,0.0,0.0,-4.37,1.93,0.0
20100101:2111,0.0,0.0,0.0,-4.47,1.79,0.0
20100101:2211,0.0,0.0,0.0,-4.35,1.66,0.0
20100101:2311,0.0,0.0,0.0,-4.2,1.38,0.0
20100102:0011,0.0,0.0,0.0,-4.03,1.03,0.0
20100102:0111,0.0,0.0,0.0,-3.61,0.69,0.0
20100102:0211,0.0,0.0,0.0,-3.86,0.76,0.0
20100102:0311,0.0,0.0,0.0,-4.05,0.76,0.0
20100102:0411,0.0,0.0,0.0,-4.63,1.03,0.0
20100102:0511,0.0,0.0,0.0,-4.31,1.31,0.0
20100102:0611,0.0,0.0,0.0,-4.72,1.52,0.0
20100102:0711,0.0,0.0,0.0,-4.75,1.72,0.0
20100102:0811,0.0,2.9,1.93,-4.08,1.45,0.0
20100102:0911,69.23,92.17,7.6,-5.15,1.38,0.0
20100102:1011,46.17,66.06,11.58,-4.76,1.31,0.0
20100102:1111,31.49,49.36,13.54,-3.42,1.24,0.0
20100102:1211,8.61,20.33,13.31,-2.51,1.24,0.0
20100102:1311,32.13,50.33,10.92,-2.36,1.31,0.0
20100102:1411,37.71,57.26,6.56,-2.3,1.66,0.0
20100102:1511,0.0,0.0,0.0,-2.59,1.72,0.0
20100102:1611,0.0,0.0,0.0,-2.83,1.79,0.0
20100102:1711,0.0,0.0,0.0,-2.88,1.79,0.0
20100102:1811,0.0,0.0,0.0,-3.04,2.0,0.0
20100102:1911,0.0,0.0,0.0,-4.3,2.34,0.0
20100102:2011,0.0,0.0,0.0,-4.77,2.28,0.0
20100102:2111,0.0,0.0,0.0,-5.04,2.14,0.0
20100102:2211,0.0,0.0,0.0,-5.61,2.07,0.0
20100102:2311,0.0,0.0,0.0,-6.65,1.66,0.0
20100103:0011,0.0,0.0,0.0,-5.74,1.03,0.0
20100103:0111,0.0,0.0,0.0,-6.07,0.69,0.0
20100103:0211,0.0,0.0,0.0,-6.57,0.9,0.0
20100103:0311,0.0,0.0,0.0,-6.89,1.17,0.0
20100103:0411,0.0,0.0,0.0,-8.3,1.66,0.0
20100103:0511,0.0,0.0,0.0,-10.79,2.21,0.0
20100103:0611,0.0,0.0,0.0,-11.42,2.41,0.0
20100103:0711,0.0,0.0,0.0,-10.2,1.93,0.0
20100103:0811,0.0,4.84,1.96,-10.62,2.0,0.0
20100103:0911,95.43,118.55,7.65,-10.02,2.14,0.0
20100103:1011,6.87,17.42,11.65,-8.53,2.21,0.0
20100103:1111,25.39,41.62,13.62,-5.95,2.21,0.0
20100103:1211,30.78,48.4,13.41,-4.02,1.93,0.0
20100103:1311,33.07,51.3,11.03,-2.95,2.0,0.0
20100103:1411,27.05,44.32,6.69,-2.76,1.79,0.0
20100103:1511,0.0,0.0,0.0,-3.27,1.79,0.0
20100103:1611,0.0,0.0,0.0,-3.61,1.79,0.0
20100103:1711,0.0,0.0,0.0,-4.45,1.72,0.0
20100103:1811,0.0,0.0,0.0,-5.55,1.1,0.0
20100103:1911,0.0,0.0,0.0,-7.43,0.97,0.0
20100103:2011,0.0,0.0,0.0,-9.66,1.31,0.0
20100103:2111,0.0,0.0,0.0,-10.27,1.59,0.0
20100103:2211,0.0,0.0,0.0,-10.74,1.79,0.0
20100103:2311,0.0,0.0,0.0,-10.77,1.93,0.0
20100104:0011,0.0,0.0,0.0,-10.85,2.34,0.0
20100104:0111,0.0,0.0,0.0,-10.72,2.62,0.0
20100104:0211,0.0,0.0,0.0,-10.3,2.83,0.0
20100104:0311,0.0,0.0,0.0,-9.64,2.97,0.0
20100104:0411,0.0,0.0,0.0,-9.02,3.17,0.0
20100104:0511,0.0,0.0,0.0,-8.57,3.45,0.0
20100104:0611,0.0,0.0,0.0,-8.28,3.52,0.0
20100104:0711,0.0,0.0,0.0,-7.27,3.86,0.0
20100104:0811,0.0,1.94,2.0,-6.75,3.93,0.0
20100104:0911,77.57,100.69,7.71,-6.11,4.21,0.0
20100104:1011,15.22,29.04,11.72,-5.32,4.62,0.0
20100104:1111,32.56,50.33,13.72,-4.52,5.31,0.0
20100104:1211,45.84,65.82,13.52,-3.84,4.28,0.0
20100104:1311,7.97,19.36,11.15,-3.05,4.69,0.0
20100104:1411,6.64,17.42,6.82,-2.7,4.34,0.0
20100104:1511,0.0,0.0,0.0,-2.81,3.93,0.0
20100104:1611,0.0,0.0,0.0,-2.92,3.72,0.0
20100104:1711,0.0,0.0,0.0,-2.65,3.52,0.0
20100104:1811,0.0,0.0,0.0,-2.52,3.31,0.0
20100104:1911,0.0,0.0,0.0,-2.04,3.52,0.0
20100104:2011,0.0,0.0,0.0,-1.9,3.52,0.0
20100104:2111,0.0,0.0,0.0,-1.85,3.52,0.0
20100104:2211,0.0,0.0,0.0,-1.77,3.38,0.0
20100104:2311,0.0,0.0,0.0,-1.73,3.31,0.0
20100105:0011,0.0,0.0,0.0,-1.6,3.31,0.0
20100105:0111,0.0,0.0,0.0,-1.6,3.45,0.0
20100105:0211,0.0,0.0,0.0,-1.65,3.66,0.0
20100105:0311,0.0,0.0,0.0,-1.68,3.79,0.0
20100105:0411,0.0,0.0,0.0,-1.65,3.86,0.0
20100105:0511,0.0,0.0,0.0,-1.59,3.93,0.0
20100105:0611,0.0,0.0,0.0,-1.51,3.86,0.0
20100105:0711,0.0,0.0,0.0,-1.65,3.72,0.0
20100105:0811,1.42,8.71,2.05,-1.46,3.72,0.0
20100105:0911,185.98,222.04,7.78,-1.09,3.72,0.0
20100105:1011,91.77,117.6,11.81,-0.7,3.79,0.0
20100105:1111,185.08,217.59,13.82,-0.14,4.55,0.0
20100105:1211,109.39,136.96,13.64,0.11,4.28,0.0
20100105:1311,83.64,109.15,11.28,0.31,4.14,0.0
20100105:1411,16.24,30.97,6.96,0.28,3.66,0.0
20100105:1511,0.0,0.0,0.0,0.18,3.52,0.0
20100105:1611,0.0,0.0,0.0,0.04,3.52,0.0
20100105:1711,0.0,0.0,0.0,-0.01,3.45,0.0
20100105:1811,0.0,0.0,0.0,-0.05,3.45,0.0
20100105:1911,0.0,0.0,0.0,-0.65,3.31,0.0
20100105:2011,0.0,0.0,0.0,-0.76,3.31,0.0
20100105:2111,0.0,0.0,0.0,-0.99,3.24,0.0
20100105:2211,0.0,0.0,0.0,-1.31,3.24,0.0
20100105:2311,0.0,0.0,0.0,-1.86,3.24,0.0
20100106:0011,0.0,0.0,0.0,-2.16,3.17,0.0
20100106:0111,0.0,0.0,0.0,-2.45,2.97,0.0
20100106:0211,0.0,0.0,0.0,-2.94,2.9,0.0
20100106:0311,0.0,0.0,0.0,-3.55,2.9,0.0
20100106:0411,0.0,0.0,0.0,-3.81,2.9,0.0
20100106:0511,0.0,0.0,0.0,-4.14,2.9,0.0
20100106:0611,0.0,0.0,0.0,-4.36,2.83,0.0
20100106:0711,0.0,0.0,0.0,-3.6,2.62,0.0
20100106:0811,1.45,8.71,2.11,-3.57,2.55,0.0
20100106:0911,9.33,21.29,7.85,-3.22,2.55,0.0
20100106:1011,43.16,63.06,11.9,-2.63,2.9,0.0
20100106:1111,87.79,112.55,13.93,-2.54,2.76,0.0
20100106:1211,108.25,134.69,13.76,-2.21,3.1,0.0
20100106:1311,28.1,45.49,11.42,-2.16,2.83,0.0
20100106:1411,39.4,59.12,7.1,-2.28,2.76,0.0
20100106:1511,0.0,0.0,0.0,-2.43,2.83,0.0
20100106:1611,0.0,0.0,0.0,-2.54,2.83,0.0
20100106:1711,0.0,0.0,0.0,-2.51,2.76,0.0
20100106:1811,0.0,0.0,0.0,-2.62,2.69,0.0
20100106:1911,0.0,0.0,0.0,-2.39,2.55,0.0
20100106:2011,0.0,0.0,0.0,-2.54,2.48,0.0
20100106:2111,0.0,0.0,0.0,-2.7,2.34,0.0
20100106:2211,0.0,0.0,0.0,-2.79,2.28,0.0
20100106:2311,0.0,0.0,0.0,-2.81,2.14,0.0
20100107:0011,0.0,0.0,0.0,-3.07,2.07,0.0
20100107:0111,0.0,0.0,0.0,-3.07,1.93,0.0
20100107:0211,0.0,0.0,0.0,-3.13,1.93,0.0
20100107:0311,0.0,0.0,0.0,-3.22,1.93,0.0
20100107:0411,0.0,0.0,0.0,-3.35,1.79,0.0
20100107:0511,0.0,0.0,0.0,-3.59,1.72,0.0
20100107:0611,0.0,0.0,0.0,-3.81,1.79,0.0
20100107:0711,0.0,0.0,0.0,-4.03,1.59,0.0
20100107:0811,0.99,7.74,2.18,-4.48,1.79,0.0
20100107:0911,61.48,83.6,7.93,-4.7,1.66,0.0
20100107:1011,25.17,41.62,12.0,-4.32,1.52,0.0
20100107:1111,49.1,69.69,14.04,-3.71,1.52,0.0
